"unitid","institution name","year","S2009_f.Tenure status and academic rank of full-time instruction/research/public service staff","S2009_f_RV.Grand total","S2009_f_RV.Grand total men","S2009_f_RV.Grand total women","S2009_f_RV.American Indian or Alaska Native total - derived","S2009_f_RV.American Indian or Alaska Native men - derived","S2009_f_RV.American Indian or Alaska Native women - derived","S2009_f_RV.Asian/Native Hawaiian/Other Pacific Islander total - derived","S2009_f_RV.Asian/Native Hawaiian/Other Pacific Islander men - derived","S2009_f_RV.Asian/Native Hawaiian/Other Pacific Islander women - derived","S2009_f_RV.Black or African American/Black non-Hispanic total - derived","S2009_f_RV.Black or African American/Black non-Hispanic men - derived","S2009_f_RV.Black or African American/Black non-Hispanic women - derived","S2009_f_RV.Hispanic or Latino/Hispanic total - derived","S2009_f_RV.Hispanic or Latino/Hispanic men - derived","S2009_f_RV.Hispanic or Latino/Hispanic women - derived","S2009_f_RV.White/White non-Hispanic total - derived","S2009_f_RV.White/White non-Hispanic men - derived","S2009_f_RV.White/White non-Hispanic women - derived","S2009_f_RV.American Indian or Alaska Native total - new","S2009_f_RV.American Indian or Alaska Native men - new","S2009_f_RV.American Indian or Alaska Native women - new","S2009_f_RV.Asian total - new","S2009_f_RV.Asian men - new","S2009_f_RV.Asian women - new","S2009_f_RV.Black or African American total - new","S2009_f_RV.Black or African American men - new","S2009_f_RV.Black or African American women - new","S2009_f_RV.Hispanic or Latino total - new","S2009_f_RV.Hispanic or Latino men - new","S2009_f_RV.Hispanic or Latino women - new","S2009_f_RV.Native Hawaiian or Other Pacific Islander total - new","S2009_f_RV.Native Hawaiian or Other Pacific Islander men - new","S2009_f_RV.Native Hawaiian or Other Pacific Islander women - new","S2009_f_RV.White total - new","S2009_f_RV.White men - new","S2009_f_RV.White women - new","S2009_f_RV.Two or more races total - new","S2009_f_RV.Two or more races men - new","S2009_f_RV.Two or more races women - new","S2009_f_RV.American Indian or Alaska Native total - old","S2009_f_RV.American Indian or Alaska Native men - old","S2009_f_RV.American Indian or Alaska Native women - old","S2009_f_RV.Asian or Pacific Islander total - old","S2009_f_RV.Asian or Pacific Islander men - old","S2009_f_RV.Asian or Pacific Islander women - old","S2009_f_RV.White non-Hispanic women - old","S2009_f_RV.Black non-Hispanic  total  - old","S2009_f_RV.Black non-Hispanic men - old","S2009_f_RV.Black non-Hispanic women - old","S2009_f_RV.Hispanic total - old","S2009_f_RV.Hispanic men - old","S2009_f_RV.Hispanic women - old","S2009_f_RV.White non-Hispanic total  - old","S2009_f_RV.White non-Hispanic men  - old","S2009_f_RV.Race/ethnicity unknown total","S2009_f_RV.Race/ethnicity unknown men","S2009_f_RV.Race/ethnicity unknown women","S2009_f_RV.Nonresident alien total","S2009_f_RV.Nonresident alien men","S2009_f_RV.Nonresident alien women","IDX_HR"
"126614","University of Colorado Boulder","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Instructors","307","136","171","2","0","2","18","6","12","4","1","3","8","2","6","257","116","141",,,,,,,,,,,,,,,,,,,,,,"2","0","2","18","6","12","141","4","1","3","8","2","6","257","116","12","6","6","6","5","1","-2"
"126614","University of Colorado Boulder","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track, No academic rank","473","300","173","1","0","1","28","15","13","4","1","3","14","7","7","244","158","86",,,,,,,,,,,,,,,,,,,,,,"1","0","1","28","15","13","86","4","1","3","14","7","7","244","158","19","9","10","163","110","53","-2"
"126614","University of Colorado Boulder","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track total","780","436","344","3","0","3","46","21","25","8","2","6","22","9","13","501","274","227",,,,,,,,,,,,,,,,,,,,,,"3","0","3","46","21","25","227","8","2","6","22","9","13","501","274","31","15","16","169","115","54","-2"
"126818","Colorado State University-Fort Collins","2009","Total full-time Instruction/research/public service, Tenured, Professors","377","294","83","1","0","1","21","18","3","3","3","0","11","9","2","322","251","71",,,,,,,,,,,,,,,,,,,,,,"1","0","1","21","18","3","71","3","3","0","11","9","2","322","251","1","1","0","18","12","6","-2"
"126818","Colorado State University-Fort Collins","2009","Total full-time Instruction/research/public service, Tenured, Associate professors","281","180","101","2","1","1","8","7","1","4","3","1","13","5","8","228","142","86",,,,,,,,,,,,,,,,,,,,,,"2","1","1","8","7","1","86","4","3","1","13","5","8","228","142","3","3","0","23","19","4","-2"
"126818","Colorado State University-Fort Collins","2009","Total full-time Instruction/research/public service, Tenured, Assistant professors","4","3","1","0","0","0","0","0","0","0","0","0","0","0","0","4","3","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","1","0","0","0","0","0","0","4","3","0","0","0","0","0","0","-2"
"126818","Colorado State University-Fort Collins","2009","Total full-time Instruction/research/public service, Tenured total","662","477","185","3","1","2","29","25","4","7","6","1","24","14","10","554","396","158",,,,,,,,,,,,,,,,,,,,,,"3","1","2","29","25","4","158","7","6","1","24","14","10","554","396","4","4","0","41","31","10","-2"
"126818","Colorado State University-Fort Collins","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track, Professors","5","5","0","0","0","0","1","1","0","0","0","0","0","0","0","4","4","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","1","1","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","-2"
"126818","Colorado State University-Fort Collins","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track, Associate professors","19","12","7","0","0","0","0","0","0","0","0","0","1","1","0","15","10","5",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","5","0","0","0","1","1","0","15","10","0","0","0","3","1","2","-2"
"126818","Colorado State University-Fort Collins","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track, Assistant professors","296","162","134","0","0","0","5","1","4","7","5","2","9","4","5","161","80","81",,,,,,,,,,,,,,,,,,,,,,"0","0","0","5","1","4","81","7","5","2","9","4","5","161","80","32","17","15","82","55","27","-2"
